class,cap-diameter,cap-shape,cap-surface,stem-width,has-ring
p,Medium,Convex,missing,22.21,f
e,Tiny,Convex,Leathery,8.0,f
p,Fairly Large,Convex,missing,9.58,f
p,Fairly Large,Convex,Dry,11.5,f
p,Fairly Large,Convex,missing,12.7,f
e,Small,Bell,Hairy,8.98,f
e,Small,Convex,Silky,8.72,f
e,Small,Convex,missing,14.87,f
e,Tiny,Convex,Silky,21.47,f
p,Medium,Convex,Grooved,2.33,f
e,Moderate,Convex,Silky,13.14,t
p,Fairly Large,Convex,Textured,28.04,f
e,Small,Convex,Hairy,13.01,f
p,Medium,Flat,missing,12.33,f
p,Medium,Convex,Grooved,15.43,t
p,Medium,Convex,Textured,7.87,f
e,Small,Punctate,Scaly,18.99,t
p,Fairly Large,Others,missing,21.76,t
e,Small,Convex,missing,3.37,f
e,Small,Flat,Dry,29.15,f
e,Moderate,Convex,missing,16.12,f
p,Medium,Punctate,Textured,2.38,t
p,Moderate,Flat,Dry,3.48,f
p,Medium,Bell,Grooved,2.79,f
e,Moderate,Flat,Dry,30.94,f
e,Moderate,Convex,Silky,24.88,f
p,Medium,Convex,missing,14.28,f
p,Moderate,Convex,Grooved,1.31,f
e,Small,Flat,Grooved,2.87,f
e,Small,Flat,Dry,12.3,f
e,Small,Flat,Smooth,19.7,t
e,Small,Flat,Scaly,25.34,t
p,Fairly Large,Others,Leathery,0.0,f
e,Tiny,Punctate,Silky,12.99,t
p,Fairly Large,Conical,missing,3.35,f
e,Tiny,Sunken,Smooth,23.21,f
p,Medium,Flat,missing,3.44,f
p,Medium,Bell,missing,2.39,f
e,Tiny,Flat,missing,18.01,t
e,Small,Convex,Textured,11.34,f
p,Fairly Large,Flat,Textured,7.73,f
p,Medium,Bell,Textured,4.83,f
p,Medium,Flat,Leathery,4.85,f
p,Medium,Flat,missing,13.43,f
p,Fairly Large,Convex,Wrinkled,10.49,f
p,Fairly Large,Conical,Sticky,13.3,f
e,Small,Convex,Scaly,13.56,t
p,Fairly Large,Punctate,Textured,2.43,t
e,Tiny,Convex,Textured,4.88,t
e,Tiny,Convex,Silky,28.73,f
e,Tiny,Convex,Dry,10.18,f
e,Tiny,Flat,Grooved,2.64,f
p,Moderate,Sunken,Silky,8.21,f
p,Fairly Large,Sunken,Hairy,11.68,f
p,Fairly Large,Bell,Hairy,6.05,t
p,Moderate,Convex,Grooved,2.55,f
p,Fairly Large,Others,Smooth,12.05,f
e,Moderate,Convex,Wrinkled,2.5,f
p,Moderate,Flat,missing,3.89,f
e,Moderate,Convex,Smooth,16.72,f
e,Small,Flat,Wrinkled,12.2,f
p,Moderate,Sunken,Textured,14.96,t
p,Fairly Large,Convex,Iridescent,7.78,t
p,Medium,Others,missing,25.59,t
p,Medium,Convex,Scaly,13.38,t
p,Medium,Sunken,Dry,8.69,f
p,Medium,Flat,missing,11.05,f
p,Moderate,Others,Textured,0.0,f
p,Medium,Flat,Leathery,4.95,f
p,Fairly Large,Convex,Smooth,33.2,f
p,Fairly Large,Flat,Dry,11.07,f
e,Small,Flat,Smooth,18.45,t
p,Moderate,Bell,Textured,13.49,t
p,Moderate,Flat,Hairy,7.38,f
p,Medium,Bell,Dry,6.1,t
p,Moderate,Convex,Scaly,10.15,t
e,Tiny,Convex,Textured,11.82,f
e,Tiny,Flat,missing,14.82,f
p,Moderate,Conical,Hairy,3.46,f
p,Medium,Flat,Dry,8.45,f
e,Small,Flat,Hairy,10.02,f
p,Medium,Punctate,Textured,2.74,t
e,Small,Convex,Textured,16.87,f
p,Moderate,Convex,Silky,8.39,f
p,Fairly Large,Bell,Scaly,4.36,f
p,Medium,Flat,Scaly,19.02,f
e,Tiny,Conical,Grooved,0.97,f
p,Fairly Large,Flat,Dry,3.08,f
p,Medium,Convex,Smooth,9.34,t
e,Small,Sunken,Silky,28.53,f
p,Fairly Large,Sunken,Sticky,35.68,f
p,Medium,Convex,Grooved,2.37,f
p,Medium,Bell,Hairy,1.65,f
e,Tiny,Convex,Sticky,10.4,f
p,Fairly Large,Flat,missing,11.46,f
e,Small,Conical,Grooved,1.28,f
p,Fairly Large,Flat,missing,6.52,f
p,Moderate,Sunken,Textured,13.33,f
p,Medium,Convex,Scaly,3.58,t
e,Small,Convex,Silky,16.03,t
e,Moderate,Convex,missing,24.74,f
e,Small,Flat,Silky,11.72,f
e,Moderate,Flat,missing,13.57,t
p,Medium,Flat,Sticky,31.82,f
p,Moderate,Convex,Dry,2.58,f
e,Tiny,Bell,Grooved,1.54,f
e,Small,Flat,Scaly,20.98,t
p,Fairly Large,Convex,Silky,7.5,t
e,Small,Sunken,Textured,17.38,f
e,Small,Convex,Smooth,26.12,f
e,Small,Sunken,missing,22.25,f
p,Moderate,Sunken,Sticky,26.89,f
e,Small,Convex,Silky,11.89,f
p,Fairly Large,Flat,Silky,23.66,f
e,Small,Others,missing,17.27,f
p,Moderate,Sunken,Hairy,13.7,f
p,Fairly Large,Flat,missing,7.86,f
p,Moderate,Flat,Scaly,5.05,f
p,Fairly Large,Convex,Smooth,9.24,t
p,Fairly Large,Convex,Hairy,28.15,f
p,Moderate,Others,Leathery,0.0,f
e,Moderate,Flat,missing,4.13,f
p,Moderate,Bell,Silky,7.07,t
p,Fairly Large,Convex,Grooved,1.47,f
e,Small,Convex,Textured,12.63,f
p,Fairly Large,Convex,Smooth,27.27,f
p,Fairly Large,Punctate,missing,31.55,f
e,Small,Others,Scaly,49.46,f
p,Fairly Large,Flat,Dry,6.52,f
e,Small,Punctate,missing,12.58,f
p,Fairly Large,Bell,Wrinkled,5.98,f
p,Fairly Large,Flat,Leathery,5.08,f
e,Tiny,Convex,Grooved,1.54,f
e,Tiny,Flat,Grooved,11.13,f
e,Tiny,Convex,missing,5.14,f
p,Fairly Large,Convex,Iridescent,6.54,f
p,Fairly Large,Sunken,missing,7.33,f
p,Medium,Sunken,missing,7.84,f
e,Tiny,Convex,Grooved,2.88,f
e,Moderate,Convex,Silky,16.42,f
e,Tiny,Convex,Silky,19.58,f
p,Medium,Flat,Wrinkled,5.48,f
e,Small,Flat,Hairy,7.14,f
p,Fairly Large,Others,missing,25.08,f
p,Fairly Large,Convex,Silky,4.85,f
p,Medium,Punctate,Textured,2.66,t
p,Fairly Large,Flat,missing,16.32,t
e,Moderate,Sunken,Smooth,23.07,f
p,Medium,Others,Textured,0.0,f
p,Fairly Large,Convex,Grooved,0.76,f
p,Fairly Large,Sunken,missing,5.5,f
p,Fairly Large,Convex,Scaly,15.24,t
p,Fairly Large,Sunken,missing,13.58,t
e,Small,Convex,Scaly,24.42,t
e,Moderate,Convex,missing,20.96,f
e,Tiny,Convex,Scaly,18.54,t
p,Medium,Convex,Sticky,35.02,f
e,Small,Convex,missing,26.62,f
p,Fairly Large,Convex,missing,12.66,f
p,Medium,Convex,Grooved,16.9,t
p,Fairly Large,Bell,Scaly,4.55,f
e,Moderate,Convex,Dry,10.17,f
e,Tiny,Flat,Silky,17.01,t
e,Small,Sunken,missing,19.76,f
e,Moderate,Convex,Textured,22.07,f
e,Small,Flat,Grooved,1.09,f
e,Moderate,Flat,missing,17.5,f
e,Small,Convex,Grooved,0.95,f
e,Moderate,Convex,Dry,12.03,f
e,Tiny,Flat,Smooth,20.3,t
p,Fairly Large,Flat,Textured,4.47,f
p,Fairly Large,Conical,Iridescent,9.02,f
p,Fairly Large,Punctate,Scaly,12.54,t
p,Fairly Large,Others,Textured,0.0,f
p,Fairly Large,Convex,Silky,17.06,f
e,Moderate,Convex,missing,15.11,f
e,Tiny,Flat,Silky,7.28,f
p,Fairly Large,Convex,Scaly,24.26,t
e,Small,Convex,Grooved,1.06,f
e,Tiny,Convex,Silky,15.13,t
p,Medium,Convex,Scaly,5.9,f
e,Moderate,Convex,Textured,11.72,f
e,Tiny,Convex,Textured,58.25,f
e,Tiny,Convex,missing,7.92,f
p,Medium,Sunken,Textured,13.91,t
p,Fairly Large,Others,missing,15.06,f
e,Tiny,Sunken,missing,22.31,f
e,Small,Punctate,missing,20.09,f
p,Moderate,Others,Leathery,0.0,f
p,Moderate,Bell,Silky,7.17,f
e,Moderate,Bell,Grooved,4.03,f
p,Fairly Large,Bell,missing,1.93,f
e,Small,Flat,Scaly,24.61,t
e,Tiny,Convex,Hairy,16.85,f
e,Tiny,Convex,missing,7.14,f
p,Medium,Convex,Grooved,2.45,f
p,Medium,Convex,Dry,8.87,f
e,Tiny,Bell,Grooved,2.81,f
p,Fairly Large,Sunken,Textured,12.87,t
p,Fairly Large,Flat,Wrinkled,5.84,f
p,Fairly Large,Flat,Silky,7.95,f
p,Medium,Convex,Iridescent,7.95,t
p,Moderate,Sunken,Dry,7.75,f
p,Fairly Large,Others,missing,15.6,f
p,Medium,Bell,Textured,12.23,t
p,Fairly Large,Convex,Iridescent,16.03,f
p,Fairly Large,Convex,Textured,7.08,f
e,Small,Convex,Dry,7.39,f
p,Fairly Large,Flat,Leathery,5.32,f
p,Fairly Large,Flat,missing,13.33,f
e,Moderate,Convex,Scaly,9.81,f
p,Medium,Convex,Smooth,10.54,t
e,Tiny,Sunken,Scaly,4.18,f
e,Moderate,Convex,Scaly,25.7,t
e,Moderate,Punctate,Grooved,1.46,f
p,Fairly Large,Flat,Dry,8.43,f
p,Medium,Convex,Textured,24.88,f
p,Moderate,Flat,Scaly,12.14,f
p,Medium,Convex,Wrinkled,8.55,f
p,Large,Convex,missing,11.85,f
e,Tiny,Convex,Textured,13.42,f
p,Fairly Large,Convex,Iridescent,6.7,f
p,Fairly Large,Flat,Sticky,38.36,f
p,Fairly Large,Flat,Scaly,3.59,t
e,Small,Sunken,Silky,22.8,f
p,Fairly Large,Bell,Scaly,18.59,f
p,Fairly Large,Conical,Sticky,12.51,f
p,Medium,Convex,Scaly,13.14,t
p,Fairly Large,Convex,Grooved,1.3,f
p,Moderate,Others,Silky,0.0,t
e,Tiny,Sunken,missing,7.83,f
e,Tiny,Convex,Smooth,18.89,f
p,Fairly Large,Convex,Iridescent,6.11,f
e,Small,Convex,Hairy,5.51,t
e,Small,Convex,Smooth,16.45,f
p,Fairly Large,Convex,Scaly,12.05,t
p,Fairly Large,Flat,missing,3.64,f
e,Small,Convex,Hairy,12.18,f
p,Medium,Convex,Sticky,1.69,f
p,Fairly Large,Bell,Silky,7.45,t
p,Moderate,Convex,Dry,8.75,f
e,Small,Flat,Smooth,22.6,t
p,Fairly Large,Convex,Scaly,13.49,t
p,Medium,Flat,missing,6.73,f
p,Fairly Large,Sunken,Hairy,13.03,f
p,Fairly Large,Sunken,missing,13.39,t
e,Tiny,Convex,Dry,15.57,f
e,Tiny,Flat,Silky,5.95,f
p,Fairly Large,Convex,missing,12.87,f
p,Fairly Large,Bell,Scaly,17.8,f
p,Medium,Bell,Scaly,4.48,f
p,Large,Convex,Smooth,36.07,f
e,Moderate,Convex,missing,22.68,f
p,Fairly Large,Bell,Iridescent,6.94,f
e,Moderate,Flat,Dry,5.38,f
p,Fairly Large,Flat,Textured,4.42,f
p,Moderate,Flat,Dry,34.0,f
p,Fairly Large,Flat,Dry,32.14,f
p,Medium,Convex,Iridescent,7.36,t
e,Moderate,Convex,Silky,8.76,f
p,Medium,Convex,Sticky,24.42,f
p,Medium,Sunken,Dry,7.18,f
p,Moderate,Convex,Dry,24.79,t
e,Small,Flat,Silky,9.51,f
p,Fairly Large,Others,Silky,0.0,t
e,Small,Convex,Scaly,8.69,f
e,Tiny,Others,Scaly,33.69,f
e,Small,Sunken,Textured,17.21,f
p,Fairly Large,Punctate,Textured,2.61,t
p,Medium,Convex,missing,2.46,f
e,Small,Convex,missing,8.56,t
p,Medium,Bell,Scaly,12.53,t
p,Fairly Large,Convex,Silky,6.32,t
e,Small,Convex,Silky,15.63,t
e,Small,Others,Scaly,52.77,f
p,Moderate,Convex,Scaly,11.81,t
p,Fairly Large,Convex,Grooved,2.73,f
e,Tiny,Convex,Textured,7.57,f
p,Medium,Punctate,Silky,13.22,t
p,Medium,Convex,Grooved,18.02,t
e,Tiny,Sunken,missing,8.65,f
p,Medium,Bell,missing,2.28,f
e,Moderate,Convex,missing,15.03,f
e,Small,Convex,missing,13.66,t
p,Fairly Large,Flat,Grooved,35.56,f
p,Fairly Large,Convex,Grooved,0.71,f
e,Small,Flat,Dry,7.03,f
p,Large,Sunken,missing,10.62,t
p,Large,Convex,Textured,6.91,f
e,Tiny,Convex,Dry,16.84,f
e,Small,Flat,missing,13.81,f
p,Moderate,Convex,Textured,27.65,f
p,Medium,Convex,Silky,7.48,f
p,Medium,Bell,missing,2.15,f
e,Moderate,Sunken,missing,25.2,f
p,Large,Flat,Dry,2.9,f
p,Fairly Large,Convex,Textured,6.92,f
e,Tiny,Sunken,missing,20.48,f
e,Small,Sunken,missing,25.45,f
e,Tiny,Flat,Silky,17.49,t
p,Fairly Large,Convex,missing,3.98,f
p,Medium,Sunken,Dry,2.79,f
e,Tiny,Convex,Dry,12.96,f
p,Moderate,Convex,Scaly,10.49,t
e,Moderate,Convex,Silky,17.55,t
p,Medium,Flat,missing,3.95,f
e,Tiny,Conical,Grooved,1.38,f
p,Medium,Flat,Textured,4.3,f
e,Small,Convex,Scaly,10.54,f
e,Small,Convex,Textured,82.5,f
p,Medium,Convex,Smooth,30.07,f
e,Tiny,Convex,Silky,19.76,t
p,Large,Bell,Textured,13.46,t
e,Moderate,Others,Scaly,35.07,f
p,Medium,Flat,Dry,2.73,f
e,Moderate,Sunken,missing,8.55,f
p,Fairly Large,Sunken,Textured,14.36,t
e,Tiny,Others,Scaly,30.96,f
p,Fairly Large,Conical,Iridescent,6.56,f
p,Medium,Convex,Iridescent,7.93,t
p,Medium,Convex,Textured,6.79,f
p,Moderate,Sunken,Dry,6.44,f
e,Small,Sunken,Silky,23.97,f
p,Fairly Large,Convex,Textured,7.83,t
e,Small,Punctate,Silky,14.39,t
e,Small,Convex,Grooved,0.96,f
p,Fairly Large,Punctate,Scaly,17.37,f
p,Fairly Large,Punctate,Textured,2.29,t
e,Moderate,Sunken,missing,16.99,f
e,Moderate,Convex,Silky,9.74,f
e,Moderate,Flat,Silky,12.68,f
p,Medium,Convex,Iridescent,5.11,f
e,Tiny,Flat,missing,20.53,f
p,Fairly Large,Bell,missing,2.12,f
e,Tiny,Convex,Hairy,16.89,t
e,Tiny,Flat,missing,14.15,f
e,Tiny,Sunken,missing,7.07,f
p,Fairly Large,Convex,Smooth,12.37,f
e,Tiny,Bell,Scaly,3.63,f
p,Fairly Large,Flat,Dry,5.81,f
p,Fairly Large,Bell,missing,2.23,f
p,Moderate,Convex,Scaly,3.62,t
p,Medium,Convex,Grooved,14.59,t
p,Fairly Large,Flat,Silky,6.99,f
e,Moderate,Sunken,missing,8.54,f
e,Small,Convex,Dry,12.73,f
e,Moderate,Flat,missing,14.82,t
p,Medium,Convex,Smooth,38.76,f
p,Medium,Convex,Textured,6.37,f
p,Fairly Large,Convex,Silky,18.39,f
e,Moderate,Others,Scaly,22.26,f
e,Moderate,Convex,Dry,12.73,f
e,Tiny,Bell,Hairy,10.29,f
p,Large,Conical,Sticky,12.1,f
e,Moderate,Flat,Hairy,5.7,f
p,Medium,Others,Silky,0.0,f
p,Fairly Large,Sunken,missing,6.23,f
p,Medium,Convex,Iridescent,7.63,t
p,Large,Convex,Grooved,1.4,f
e,Tiny,Bell,Grooved,3.7,f
p,Fairly Large,Convex,Iridescent,7.37,f
p,Medium,Convex,Scaly,5.28,f
p,Medium,Convex,Grooved,2.67,f
p,Fairly Large,Sunken,Textured,18.01,t
e,Small,Convex,Iridescent,12.15,t
p,Large,Convex,Hairy,9.25,f
p,Medium,Flat,Iridescent,2.62,f
e,Small,Convex,Scaly,9.72,f
p,Medium,Flat,missing,12.55,f
e,Moderate,Convex,Textured,23.15,f
p,Medium,Convex,missing,9.48,f
e,Moderate,Convex,Textured,16.37,f
e,Small,Punctate,Dry,36.28,f
p,Large,Flat,missing,11.89,f
p,Medium,Bell,Grooved,3.12,f
p,Fairly Large,Punctate,Scaly,18.0,f
p,Fairly Large,Flat,Hairy,17.02,t
p,Fairly Large,Bell,Scaly,16.95,f
p,Large,Flat,Dry,9.96,f
p,Fairly Large,Sunken,Silky,6.3,f
p,Large,Convex,Grooved,0.97,f
e,Small,Conical,Grooved,1.61,f
e,Small,Convex,missing,17.23,f
p,Medium,Conical,Iridescent,6.81,f
e,Moderate,Sunken,Textured,18.48,f
e,Small,Convex,Silky,10.49,f
e,Moderate,Punctate,Silky,11.5,t
e,Small,Convex,missing,3.74,f
p,Fairly Large,Sunken,Textured,15.71,f
p,Fairly Large,Flat,Sticky,30.27,f
p,Fairly Large,Flat,Dry,31.16,f
p,Large,Convex,Silky,29.12,f
p,Fairly Large,Flat,Dry,9.55,f
e,Small,Convex,Dry,12.09,f
p,Fairly Large,Bell,Textured,6.43,t
e,Small,Sunken,Textured,17.24,f
e,Tiny,Convex,Silky,10.61,f
p,Fairly Large,Bell,missing,2.39,f
p,Large,Flat,Textured,8.17,f
e,Moderate,Flat,Hairy,13.08,f
e,Moderate,Convex,Grooved,1.99,f
e,Moderate,Bell,Grooved,1.54,f
p,Medium,Convex,Smooth,15.1,f
p,Fairly Large,Convex,Silky,16.37,f
p,Fairly Large,Convex,Scaly,13.73,t
e,Moderate,Flat,missing,15.36,f
e,Moderate,Flat,Silky,10.87,f
e,Small,Flat,Smooth,18.23,t
e,Tiny,Convex,Silky,1.53,f
e,Small,Conical,Grooved,1.49,f
e,Moderate,Punctate,Iridescent,16.09,t
e,Tiny,Convex,Hairy,4.76,t
e,Small,Convex,Scaly,10.53,f
p,Fairly Large,Flat,missing,4.09,f
e,Moderate,Bell,Scaly,2.73,f
p,Large,Flat,Textured,2.42,f
e,Moderate,Flat,Silky,15.55,t
e,Small,Flat,Silky,9.85,f
e,Moderate,Flat,Scaly,13.49,t
e,Moderate,Flat,Silky,8.32,f
p,Large,Sunken,missing,12.87,t
e,Moderate,Convex,Textured,1.85,f
p,Large,Bell,Hairy,1.39,f
p,Large,Convex,Scaly,12.34,t
p,Moderate,Flat,Leathery,4.56,f
p,Medium,Convex,Dry,2.58,f
e,Tiny,Flat,Smooth,19.63,t
p,Medium,Flat,missing,12.06,t
p,Moderate,Flat,Leathery,4.87,f
e,Small,Convex,missing,7.78,f
p,Fairly Large,Others,Sticky,1.41,f
p,Large,Punctate,Silky,12.78,t
e,Moderate,Convex,Smooth,13.25,f
p,Fairly Large,Flat,Scaly,18.83,f
p,Fairly Large,Others,Sticky,16.97,f
e,Small,Flat,missing,16.44,f
p,Fairly Large,Sunken,missing,6.42,f
e,Small,Bell,Hairy,9.33,f
p,Large,Convex,Textured,8.67,t
p,Fairly Large,Convex,Textured,7.7,t
p,Fairly Large,Convex,missing,12.09,f
e,Tiny,Flat,Hairy,6.55,f
p,Medium,Convex,Textured,7.72,f
e,Tiny,Sunken,Leathery,8.14,f
e,Small,Convex,Scaly,9.72,f
p,Large,Convex,Textured,13.47,f
e,Moderate,Conical,Grooved,1.29,f
e,Tiny,Punctate,Scaly,18.63,t
e,Small,Others,missing,18.31,f
p,Medium,Bell,missing,2.56,f
p,Medium,Others,Silky,0.0,t
e,Moderate,Convex,Textured,13.44,t
e,Moderate,Others,missing,24.09,f
e,Tiny,Convex,Hairy,14.91,f
e,Small,Convex,Textured,7.25,f
e,Moderate,Others,Scaly,46.54,f
p,Large,Bell,Scaly,3.41,t
p,Fairly Large,Convex,Smooth,12.65,f
e,Moderate,Convex,missing,18.59,t
p,Medium,Bell,Grooved,3.21,f
p,Fairly Large,Bell,Silky,6.3,f
e,Tiny,Flat,Hairy,6.59,f
e,Moderate,Convex,missing,10.8,t
p,Fairly Large,Conical,Iridescent,8.48,f
p,Medium,Conical,Iridescent,6.27,f
p,Fairly Large,Others,Leathery,0.0,f
p,Large,Bell,missing,2.35,f
e,Moderate,Convex,Sticky,9.1,f
p,Fairly Large,Flat,Textured,17.49,f
e,Moderate,Flat,missing,15.16,f
p,Large,Convex,Silky,8.82,f
e,Moderate,Convex,missing,4.49,f
e,Small,Flat,Dry,7.06,f
p,Medium,Punctate,Grooved,13.24,t
p,Medium,Convex,Grooved,1.04,f
p,Fairly Large,Conical,Smooth,13.23,f
p,Medium,Flat,Dry,6.37,t
p,Fairly Large,Sunken,Dry,5.45,f
p,Medium,Convex,Textured,17.58,f
p,Medium,Convex,missing,12.81,t
p,Medium,Punctate,Grooved,16.14,t
p,Medium,Convex,Sticky,30.37,f
p,Medium,Bell,Textured,2.62,t
p,Large,Others,Textured,18.44,f
e,Small,Convex,missing,25.0,f
p,Large,Convex,Grooved,11.31,t
e,Tiny,Bell,Grooved,3.2,f
e,Small,Convex,Silky,16.15,t
p,Medium,Convex,Grooved,2.3,f
e,Moderate,Bell,Grooved,3.9,f
e,Moderate,Convex,Hairy,5.54,t
p,Fairly Large,Bell,Hairy,1.38,f
p,Large,Flat,Silky,7.06,f
p,Medium,Convex,Iridescent,9.4,t
p,Fairly Large,Convex,missing,2.73,f
p,Medium,Bell,missing,1.94,f
p,Fairly Large,Convex,Textured,27.85,f
e,Small,Conical,Grooved,1.24,f
p,Large,Bell,missing,2.3,f
p,Fairly Large,Flat,missing,12.47,f
p,Fairly Large,Convex,Silky,8.28,f
e,Moderate,Convex,Silky,10.51,f
p,Fairly Large,Others,missing,30.13,t
p,Fairly Large,Bell,Grooved,2.16,f
p,Medium,Sunken,Dry,2.54,f
e,Small,Convex,missing,20.17,f
e,Moderate,Convex,Silky,12.28,f
e,Tiny,Flat,Silky,10.34,f
p,Medium,Flat,missing,5.93,f
p,Fairly Large,Convex,Textured,12.21,f
p,Fairly Large,Flat,Textured,7.11,f
e,Moderate,Flat,Iridescent,13.05,t
p,Medium,Convex,Silky,6.0,f
p,Fairly Large,Flat,Iridescent,2.85,f
p,Large,Convex,Silky,5.47,f
p,Medium,Others,Sticky,13.05,f
e,Moderate,Punctate,Scaly,18.73,t
e,Small,Convex,Hairy,6.34,t
p,Fairly Large,Convex,Grooved,1.36,f
e,Moderate,Punctate,Scaly,18.58,t
p,Large,Convex,Grooved,1.52,f
e,Moderate,Flat,Silky,16.87,t
p,Large,Convex,missing,2.4,f
p,Fairly Large,Convex,missing,20.17,f
e,Small,Convex,Scaly,17.95,t
e,Moderate,Flat,Textured,8.73,f
e,Moderate,Others,missing,26.81,f
e,Moderate,Bell,Grooved,2.91,f
e,Moderate,Convex,Dry,15.0,f
p,Medium,Convex,Grooved,1.16,f
p,Medium,Bell,Scaly,4.35,f
e,Moderate,Bell,Grooved,2.67,f
e,Moderate,Convex,Wrinkled,75.11,f
e,Small,Bell,Scaly,2.83,f
e,Moderate,Sunken,Silky,12.37,f
e,Moderate,Convex,Hairy,12.38,t
p,Medium,Punctate,missing,28.78,f
e,Small,Punctate,Scaly,17.48,t
p,Large,Sunken,Wrinkled,5.53,f
p,Medium,Conical,missing,3.34,f
e,Small,Flat,Iridescent,12.86,t
e,Small,Convex,missing,15.89,f
e,Small,Convex,Textured,12.61,f
p,Large,Bell,Silky,8.2,t
p,Medium,Convex,missing,6.09,f
e,Moderate,Convex,Silky,20.69,f
p,Large,Convex,Grooved,0.76,f
p,Medium,Sunken,Textured,24.83,f
p,Fairly Large,Sunken,Textured,14.25,t
e,Moderate,Convex,Textured,2.07,f
e,Moderate,Convex,Silky,23.16,f
e,Tiny,Sunken,Silky,21.33,f
p,Medium,Bell,Scaly,6.91,t
e,Moderate,Convex,Scaly,16.66,t
p,Medium,Bell,Textured,13.94,t
e,Moderate,Conical,missing,20.63,f
p,Medium,Flat,missing,10.04,f
p,Fairly Large,Sunken,Dry,6.88,f
e,Small,Convex,missing,17.65,f
p,Large,Sunken,missing,5.19,f
p,Fairly Large,Convex,Wrinkled,7.54,f
e,Tiny,Flat,missing,15.37,f
e,Moderate,Convex,Scaly,17.28,t
p,Fairly Large,Flat,Silky,5.87,f
e,Moderate,Convex,missing,4.35,f
p,Large,Convex,Silky,5.41,f
p,Large,Convex,Grooved,2.51,f
e,Small,Sunken,Textured,16.9,f
e,Small,Convex,Wrinkled,2.41,f
e,Moderate,Convex,Textured,15.44,t
p,Fairly Large,Convex,Grooved,1.12,f
p,Medium,Convex,Grooved,14.05,t
e,Moderate,Sunken,Scaly,3.59,f
p,Medium,Convex,Wrinkled,8.12,f
e,Tiny,Flat,missing,17.58,f
p,Fairly Large,Flat,Wrinkled,5.59,f
e,Small,Convex,Scaly,11.18,t
p,Fairly Large,Sunken,missing,11.53,t
p,Medium,Convex,Scaly,3.53,t
p,Medium,Convex,Sticky,6.8,t
e,Moderate,Convex,Textured,8.2,f
p,Fairly Large,Others,missing,30.52,t
e,Small,Convex,Hairy,12.53,f
p,Fairly Large,Convex,Silky,14.1,f
e,Moderate,Conical,Grooved,1.36,f
p,Fairly Large,Flat,Wrinkled,6.94,f
e,Small,Convex,missing,13.03,f
p,Medium,Bell,missing,2.66,f
e,Tiny,Convex,Textured,7.26,f
e,Small,Convex,Textured,84.76,f
p,Medium,Convex,Iridescent,5.96,f
e,Medium,Sunken,Textured,16.65,f
p,Fairly Large,Bell,Scaly,6.62,t
p,Fairly Large,Convex,Grooved,2.6,f
p,Medium,Conical,Iridescent,7.82,f
e,Moderate,Others,missing,23.09,f
e,Moderate,Punctate,Silky,17.12,t
p,Large,Bell,Silky,6.77,t
p,Medium,Bell,Hairy,1.62,f
p,Fairly Large,Flat,missing,3.58,f
p,Fairly Large,Punctate,Scaly,17.39,f
p,Medium,Bell,missing,2.05,f
e,Small,Punctate,Dry,33.12,f
p,Large,Convex,Smooth,28.48,f
p,Medium,Flat,Sticky,32.7,f
p,Fairly Large,Flat,Dry,10.35,f
e,Medium,Sunken,Leathery,8.77,f
e,Small,Flat,Hairy,9.43,f
p,Fairly Large,Flat,Dry,6.79,f
e,Small,Convex,Leathery,6.26,f
p,Medium,Punctate,Grooved,13.69,t
e,Moderate,Flat,Grooved,11.34,f
p,Fairly Large,Others,Leathery,0.0,f
p,Large,Bell,missing,1.62,f
e,Medium,Others,missing,23.76,f
p,Medium,Flat,Dry,3.5,f
p,Medium,Convex,Smooth,34.63,f
e,Small,Convex,missing,9.72,f
p,Large,Convex,Dry,2.6,f
p,Large,Convex,Scaly,3.33,t
p,Fairly Large,Convex,Textured,8.38,f
p,Large,Convex,Iridescent,5.57,f
p,Fairly Large,Bell,Dry,7.05,f
p,Large,Flat,Wrinkled,7.56,f
e,Moderate,Conical,Grooved,1.2,f
p,Fairly Large,Flat,Dry,6.45,f
p,Fairly Large,Bell,Scaly,3.68,t
e,Moderate,Sunken,Textured,16.6,f
p,Fairly Large,Convex,missing,14.73,f
p,Large,Bell,Scaly,4.54,f
e,Small,Punctate,Iridescent,17.17,t
p,Fairly Large,Convex,Hairy,18.38,t
p,Medium,Convex,Grooved,0.76,f
p,Large,Sunken,Dry,2.4,f
e,Medium,Convex,Wrinkled,2.56,f
e,Medium,Convex,Silky,24.55,f
e,Small,Convex,Textured,11.94,f
e,Medium,Convex,Scaly,7.16,f
e,Medium,Sunken,missing,7.16,f
p,Fairly Large,Convex,Scaly,5.34,t
e,Tiny,Flat,Silky,9.92,f
p,Medium,Bell,Dry,5.91,t
p,Fairly Large,Convex,Smooth,14.7,f
e,Small,Flat,Textured,7.18,f
e,Small,Convex,Silky,11.76,f
p,Fairly Large,Convex,missing,10.65,f
e,Medium,Others,Scaly,51.31,f
p,Fairly Large,Punctate,Textured,2.3,t
p,Large,Flat,Iridescent,2.71,f
p,Fairly Large,Flat,Iridescent,2.67,f
p,Fairly Large,Convex,Grooved,0.72,f
e,Small,Sunken,Scaly,3.5,f
e,Moderate,Flat,Scaly,4.06,f
p,Fairly Large,Bell,missing,2.14,f
p,Large,Flat,Leathery,4.91,f
e,Tiny,Conical,Grooved,1.16,f
